City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Payo,ID,-3.7508,103.6372,72.52,95,100,2.26,overcast clouds
182,Lompoc,US,34.6391,-120.4579,93.34,58,1,10.36,clear sky
183,Saint-Pierre,RE,-21.3393,55.4781,71.28,70,90,3.44,overcast clouds
184,Manakara,MG,-22.1333,48.0167,67.84,94,11,6.8,few clouds
185,Perth,AU,-31.9333,115.8333,50.18,89,0,9.22,clear sky
186,Bandarbeyla,SO,9.4942,50.8122,78.67,81,62,21.34,broken clouds
187,Birjand,IR,32.8663,59.2211,55.49,30,0,5.75,clear sky
188,Dunn,US,44.95,-91.8835,66.54,95,89,9.08,overcast clouds
189,Puerto Ayora,EC,-0.7393,-90.3518,70.77,81,30,10.63,scattered clouds
190,Vestmannaeyjar,IS,63.4427,-20.2734,46.65,78,81,12.66,broken clouds
191,Harper,LR,4.375,-7.7169,77.94,89,87,6.98,overcast clouds
192,Yellowknife,CA,62.456,-114.3525,52.41,57,2,10.0,clear sky
193,Rorvik,NO,64.8621,11.2373,58.78,74,100,29.66,light rain
194,Bengkulu,ID,-3.8004,102.2655,74.17,91,97,3.62,moderate rain
195,Mahebourg,MU,-20.4081,57.7,72.25,82,22,14.34,light rain
196,Inta,RU,66.0317,60.1659,30.36,89,87,9.6,overcast clouds
197,Pangody,RU,65.85,74.4859,31.48,85,100,6.69,overcast clouds
198,Neosho,US,36.869,-94.368,76.75,73,25,10.18,scattered clouds
199,Barra Patuca,HN,15.8,-84.2833,81.93,76,28,6.42,scattered clouds
200,Anqing,CN,30.5092,117.0506,77.13,71,0,2.68,clear sky
201,Mwinilunga,ZM,-11.7358,24.4293,61.32,90,88,3.02,overcast clouds
202,Burpengary,AU,-27.1575,152.9576,86.34,47,1,4.61,clear sky
203,Kruisfontein,ZA,-34.0033,24.7314,49.89,79,27,5.55,scattered clouds
204,Kijang,KR,35.2442,129.2139,73.98,87,56,9.98,broken clouds
205,Noumea,NC,-22.2763,166.4572,81.0,99,2,8.23,clear sky
206,Jinchang,CN,38.4953,102.1739,46.8,58,85,2.48,overcast clouds
207,Beringovskiy,RU,63.05,179.3167,38.64,99,100,7.81,light rain
208,Koslan,RU,63.4564,48.8989,41.07,92,100,4.05,overcast clouds
209,Wadi Musa,JO,30.3222,35.4793,58.73,89,27,3.8,scattered clouds
210,Iqaluit,CA,63.7506,-68.5145,36.7,74,62,7.61,broken clouds
211,Vila,PT,42.0304,-8.1588,48.33,91,71,2.37,broken clouds
212,Ulladulla,AU,-35.35,150.4667,70.77,55,48,4.52,scattered clouds
213,Nikolskoye,RU,59.7035,30.7861,45.88,92,0,7.07,clear sky
214,Riyadh,SA,24.6877,46.7219,78.94,16,19,8.32,few clouds
215,Punta Alta,AR,-38.8759,-62.0736,52.11,52,55,7.49,broken clouds
216,Khuzhir,RU,53.1939,107.3397,39.83,67,100,7.36,overcast clouds
217,Nome,US,64.5011,-165.4064,37.17,55,40,5.75,scattered clouds
218,Gizo,SB,-8.103,156.8419,83.35,75,13,5.82,light rain
219,Harer,ET,9.3094,42.1258,62.01,83,90,4.83,light rain
220,Nemuro,JP,43.3236,145.575,62.42,83,96,30.09,overcast clouds
221,Poshekhonye,RU,58.4993,39.1353,42.75,81,100,3.74,overcast clouds
222,Chengzihe,CN,45.3333,131.0667,48.0,77,49,7.38,scattered clouds
223,Lorengau,PG,-2.0226,147.2712,83.61,71,94,5.3,overcast clouds
224,Katsuura,JP,35.1333,140.3,76.19,73,4,9.4,clear sky
225,Sehnde,DE,52.3139,9.9682,60.19,79,100,9.6,overcast clouds
226,Zilair,RU,52.2332,57.4392,34.57,83,56,6.8,broken clouds
227,Seoul,KR,37.5683,126.9778,77.41,67,100,4.07,overcast clouds
228,Lanigan,CA,51.8501,-105.0344,70.68,20,7,7.29,clear sky
229,Abalak,RU,58.1286,68.5944,30.4,86,100,7.94,overcast clouds
230,Cayenne,GF,4.9333,-52.3333,84.09,77,0,4.0,clear sky
