City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Mitu,CO,2021-10-02 20:22:47,1.1983,-70.1733,84.45,67,97,1.72
124,Razdolinsk,RU,2021-10-02 20:21:19,58.4211,94.6658,34.65,98,100,2.68
125,Alugan,PH,2021-10-02 20:22:48,12.2188,125.4808,80.22,81,99,1.63
126,Taoudenni,ML,2021-10-02 20:22:48,22.6783,-3.9836,96.67,9,16,4.34
127,Vila,PT,2021-10-02 20:22:49,42.0304,-8.1588,57.33,94,100,11.7
128,Tshikapa,CD,2021-10-02 20:22:49,-6.4167,20.8,70.7,96,50,1.21
129,Port Blair,IN,2021-10-02 20:22:49,11.6667,92.75,80.22,82,100,9.35
130,Ballina,AU,2021-10-02 20:22:50,-28.8667,153.5667,60.78,68,10,9.95
131,Bredasdorp,ZA,2021-10-02 20:22:50,-34.5322,20.0403,48.27,87,100,5.75
132,Katsuura,JP,2021-10-02 20:22:51,35.1333,140.3,69.91,84,0,1.12
133,Manacapuru,BR,2021-10-02 20:22:51,-3.2997,-60.6206,82.98,61,71,1.81
134,Noyabrsk,RU,2021-10-02 20:22:51,63.1994,75.4507,28.38,96,100,12.66
135,Upernavik,GL,2021-10-02 20:22:52,72.7868,-56.1549,29.64,76,61,4.83
136,Acapulco,MX,2021-10-02 20:22:38,16.8634,-99.8901,87.62,70,40,5.75
137,Ancud,CL,2021-10-02 20:22:52,-41.8697,-73.8203,51.33,71,97,11.59
138,Boa Vista,BR,2021-10-02 20:22:53,2.8197,-60.6733,93.18,40,75,6.91
139,Tanggu,CN,2021-10-02 20:22:53,39.0211,117.6469,71.56,85,88,7.27
140,Rio Gallegos,AR,2021-10-02 20:22:54,-51.6226,-69.2181,51.85,40,75,23.02
141,Tiznit,MA,2021-10-02 20:22:54,29.5833,-9.5,76.73,34,0,3.91
142,Ballitoville,ZA,2021-10-02 20:22:54,-29.539,31.2144,64.17,88,75,2.3
143,Pitimbu,BR,2021-10-02 20:22:55,-7.4706,-34.8086,81.19,78,12,10.67
144,Itarema,BR,2021-10-02 20:22:55,-2.9248,-39.9167,81.46,70,15,17.63
145,Gushikawa,JP,2021-10-02 20:22:55,26.3544,127.8686,78.8,78,1,5.75
146,Bintulu,MY,2021-10-02 20:22:56,3.1667,113.0333,75.61,94,20,3.44
147,Pilar,BR,2021-10-02 20:22:56,-9.5972,-35.9567,80.53,80,9,8.57
148,Puerto Ayora,EC,2021-10-02 20:22:57,-0.7393,-90.3518,71.76,81,91,11.54
149,Tahta,EG,2021-10-02 20:22:57,26.7693,31.5021,80.92,41,0,9.46
150,Magistralnyy,RU,2021-10-02 20:22:57,56.1725,107.4458,30.54,93,71,2.73
151,Las Varas,MX,2021-10-02 20:22:58,21.1667,-105.1667,87.28,65,37,7.65
152,Esperance,AU,2021-10-02 20:20:46,-33.8667,121.9,56.82,74,61,26.26
153,Touros,BR,2021-10-02 20:22:58,-5.1989,-35.4608,81.5,74,9,14.23
154,Turbat,PK,2021-10-02 20:22:59,26.0023,63.044,83.84,62,63,4.23
155,Raga,SS,2021-10-02 20:22:59,8.4596,25.678,70.23,96,100,4.74
156,Hilo,US,2021-10-02 20:22:59,19.7297,-155.09,82.13,70,40,0.0
157,Sideropolis,BR,2021-10-02 20:23:00,-28.5978,-49.4244,68.02,72,100,3.31
158,Kodiak,US,2021-10-02 20:23:00,57.79,-152.4072,42.31,39,1,32.21
159,Zhigalovo,RU,2021-10-02 20:23:01,54.8097,105.1578,36.54,99,100,2.93
160,Gaomi,CN,2021-10-02 20:23:01,36.3833,119.7528,73.18,91,99,9.53
161,Souillac,MU,2021-10-02 20:23:02,-20.5167,57.5167,73.36,83,40,13.8
162,Mansa,IN,2021-10-02 20:23:02,29.9833,75.3833,81.52,65,60,4.12
163,Fare,PF,2021-10-02 20:23:03,-16.7,-151.0167,79.36,68,1,15.26
164,Bathsheba,BB,2021-10-02 20:23:03,13.2167,-59.5167,88.41,66,40,24.16
165,Usinsk,RU,2021-10-02 20:23:03,65.9939,57.5281,33.82,67,50,6.44
166,Sorland,NO,2021-10-02 20:23:04,67.667,12.6934,52.95,86,100,5.82
167,Mpanda,TZ,2021-10-02 20:23:04,-6.3655,31.0409,75.56,41,54,3.11
168,Jalu,LY,2021-10-02 20:23:05,29.0331,21.5482,74.93,40,0,7.87
169,Vila Velha,BR,2021-10-02 20:19:11,-20.3297,-40.2925,81.95,83,20,16.11
170,Shu,KZ,2021-10-02 20:23:05,43.5983,73.7614,42.78,64,0,3.74
171,Port Hardy,CA,2021-10-02 20:23:05,50.6996,-127.4199,51.98,93,75,6.91
172,Rawson,AR,2021-10-02 20:23:06,-43.3002,-65.1023,50.5,45,95,29.66
173,Victoria Point,AU,2021-10-02 20:23:06,-27.5833,153.3,62.49,81,85,7.47
174,Miles City,US,2021-10-02 20:23:07,46.4083,-105.8406,75.51,21,1,3.44
175,Roebourne,AU,2021-10-02 20:23:07,-20.7833,117.1333,69.03,32,5,10.87
176,Okhotsk,RU,2021-10-02 20:23:07,59.3833,143.3,36.79,74,96,11.03
177,Andrelandia,BR,2021-10-02 20:23:08,-21.7397,-44.3092,78.78,53,100,3.06
178,Kimberley,ZA,2021-10-02 20:23:08,-28.7323,24.7623,56.89,35,0,9.22
179,Aykhal,RU,2021-10-02 20:23:09,66.0,111.5,26.6,50,88,1.9
180,Buta,CD,2021-10-02 20:23:09,2.7858,24.73,67.78,100,100,0.98
181,Saint-Augustin,CA,2021-10-02 20:23:09,51.226,-58.6502,47.21,94,99,13.42
182,Ginda,IN,2021-10-02 20:23:10,30.6945,78.4932,61.88,92,60,1.9
183,Victoria,HK,2021-10-02 20:21:47,22.2855,114.1577,86.32,84,48,4.0
184,Tosya,TR,2021-10-02 20:23:10,41.0155,34.0401,48.97,73,0,2.71
185,Songea,TZ,2021-10-02 20:23:11,-10.6833,35.65,68.27,48,4,4.72
186,Alta Floresta,BR,2021-10-02 20:23:11,-9.8756,-56.0861,84.02,61,40,11.5
187,Lavrentiya,RU,2021-10-02 20:23:12,65.5833,-171.0,24.89,77,9,9.69
188,Parana,AR,2021-10-02 20:18:37,-31.732,-60.5238,79.21,38,87,4.88
189,Padang,ID,2021-10-02 20:23:12,-0.9492,100.3543,78.22,82,100,2.59
190,Newcastle,AU,2021-10-02 20:23:13,-32.9272,151.7765,60.78,86,0,14.97
